3972.8s 133 [Epoch 87/150: batch 40/179] [DLoss: 0.004, GLoss: 12.378, cGanLoss: 8.598, L1Loss: 0.038]
4003.4s 134 [Epoch 87/150: batch 50/179] [DLoss: 0.020, GLoss: 12.694, cGanLoss: 8.869, L1Loss: 0.038]
4033.9s 135 [Epoch 87/150: batch 60/179] [DLoss: 0.002, GLoss: 10.365, cGanLoss: 6.670, L1Loss: 0.037]
4064.5s 136 [Epoch 87/150: batch 70/179] [DLoss: 0.443, GLoss: 7.611, cGanLoss: 3.338, L1Loss: 0.043]
4095.0s 137 [Epoch 87/150: batch 80/179] [DLoss: 0.006, GLoss: 10.262, cGanLoss: 6.305, L1Loss: 0.040]
4125.5s 138 [Epoch 87/150: batch 90/179] [DLoss: 0.080, GLoss: 13.988, cGanLoss: 10.171, L1Loss: 0.038]
4156.0s 139 [Epoch 87/150: batch 100/179] [DLoss: 0.001, GLoss: 13.376, cGanLoss: 9.773, L1Loss: 0.036]
4187.1s 140 [Epoch 87/150: batch 110/179] [DLoss: 0.188, GLoss: 14.105, cGanLoss: 10.347, L1Loss: 0.038]
4217.6s 141 [Epoch 87/150: batch 120/179] [DLoss: 0.002, GLoss: 12.588, cGanLoss: 8.955, L1Loss: 0.036]
4248.2s 142 [Epoch 87/150: batch 130/179] [DLoss: 0.005, GLoss: 11.376, cGanLoss: 7.301, L1Loss: 0.041]
4278.8s 143 [Epoch 87/150: batch 140/179] [DLoss: 0.004, GLoss: 11.112, cGanLoss: 7.737, L1Loss: 0.034]
4309.3s 144 [Epoch 87/150: batch 150/179] [DLoss: 0.197, GLoss: 15.882, cGanLoss: 12.186, L1Loss: 0.037]
4339.8s 145 [Epoch 87/150: batch 160/179] [DLoss: 0.005, GLoss: 12.827, cGanLoss: 8.892, L1Loss: 0.039]
4370.2s 146 [Epoch 87/150: batch 170/179] [DLoss: 0.006, GLoss: 13.166, cGanLoss: 9.234, L1Loss: 0.039]
4397.8s 147 [Epoch 88/150: batch 0/179] [DLoss: 0.001, GLoss: 10.637, cGanLoss: 7.114, L1Loss: 0.035]
4428.8s 148 [Epoch 88/150: batch 10/179] [DLoss: 0.003, GLoss: 12.179, cGanLoss: 8.424, L1Loss: 0.038]
4459.3s 149 [Epoch 88/150: batch 20/179] [DLoss: 0.002, GLoss: 14.007, cGanLoss: 10.372, L1Loss: 0.036]
4489.9s 150 [Epoch 88/150: batch 30/179] [DLoss: 0.042, GLoss: 11.176, cGanLoss: 7.551, L1Loss: 0.036]
4520.4s 151 [Epoch 88/150: batch 40/179] [DLoss: 0.040, GLoss: 10.086, cGanLoss: 6.573, L1Loss: 0.035]
4550.8s 152 [Epoch 88/150: batch 50/179] [DLoss: 0.355, GLoss: 13.638, cGanLoss: 9.575, L1Loss: 0.041]
4581.2s 153 [Epoch 88/150: batch 60/179] [DLoss: 0.012, GLoss: 9.327, cGanLoss: 5.598, L1Loss: 0.037]
4611.7s 154 [Epoch 88/150: batch 70/179] [DLoss: 0.004, GLoss: 12.892, cGanLoss: 9.208, L1Loss: 0.037]
4642.2s 155 [Epoch 88/150: batch 80/179] [DLoss: 0.004, GLoss: 9.848, cGanLoss: 6.348, L1Loss: 0.035]
4673.3s 156 [Epoch 88/150: batch 90/179] [DLoss: 0.233, GLoss: 14.937, cGanLoss: 11.261, L1Loss: 0.037]
4703.8s 157 [Epoch 88/150: batch 100/179] [DLoss: 0.022, GLoss: 8.763, cGanLoss: 5.017, L1Loss: 0.037]
4734.3s 158 [Epoch 88/150: batch 110/179] [DLoss: 0.085, GLoss: 11.879, cGanLoss: 8.546, L1Loss: 0.033]
4764.8s 159 [Epoch 88/150: batch 120/179] [DLoss: 0.004, GLoss: 12.352, cGanLoss: 8.592, L1Loss: 0.038]
4795.2s 160 [Epoch 88/150: batch 130/179] [DLoss: 0.123, GLoss: 6.629, cGanLoss: 3.074, L1Loss: 0.036]
4825.7s 161 [Epoch 88/150: batch 140/179] [DLoss: 0.002, GLoss: 13.450, cGanLoss: 9.881, L1Loss: 0.036]
4856.4s 162 [Epoch 88/150: batch 150/179] [DLoss: 0.004, GLoss: 12.336, cGanLoss: 8.734, L1Loss: 0.036]
4886.9s 163 [Epoch 88/150: batch 160/179] [DLoss: 0.015, GLoss: 10.283, cGanLoss: 6.471, L1Loss: 0.038]
4917.9s 164 [Epoch 88/150: batch 170/179] [DLoss: 0.001, GLoss: 12.862, cGanLoss: 9.279, L1Loss: 0.036]
4945.3s 165 [Epoch 89/150: batch 0/179] [DLoss: 0.001, GLoss: 11.468, cGanLoss: 7.735, L1Loss: 0.037]
4975.7s 166 [Epoch 89/150: batch 10/179] [DLoss: 0.266, GLoss: 10.106, cGanLoss: 6.840, L1Loss: 0.033]
5006.3s 167 [Epoch 89/150: batch 20/179] [DLoss: 0.004, GLoss: 11.036, cGanLoss: 7.301, L1Loss: 0.037]
5036.9s 168 [Epoch 89/150: batch 30/179] [DLoss: 0.463, GLoss: 8.785, cGanLoss: 5.090, L1Loss: 0.037]
5067.4s 169 [Epoch 89/150: batch 40/179] [DLoss: 0.014, GLoss: 10.873, cGanLoss: 7.244, L1Loss: 0.036]
5097.8s 170 [Epoch 89/150: batch 50/179] [DLoss: 0.001, GLoss: 13.043, cGanLoss: 9.626, L1Loss: 0.034]
5128.1s 171 [Epoch 89/150: batch 60/179] [DLoss: 0.001, GLoss: 12.577, cGanLoss: 8.919, L1Loss: 0.037]
5159.1s 172 [Epoch 89/150: batch 70/179] [DLoss: 0.010, GLoss: 13.882, cGanLoss: 10.209, L1Loss: 0.037]
5189.6s 173 [Epoch 89/150: batch 80/179] [DLoss: 0.003, GLoss: 12.477, cGanLoss: 8.933, L1Loss: 0.035]
